appid,name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
80,Counter-Strike: Condition Zero
130,Half-Life: Blue Shift
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
300,Day of Defeat: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
440,Team Fortress 2
500,Left 4 Dead
550,Left 4 Dead 2
570,Dota 2
620,Portal 2
630,Alien Swarm
730,Counter-Strike: Global Offensive
1200,Red Orchestra: Ostfront 41-45
1250,Killing Floor
1300,SiN Episodes: Emergence
1500,Darwinia
1510,Uplink
1520,DEFCON
1530,Multiwinia
1600,Dangerous Waters
1610,Space Empires IV Deluxe
1630,Disciples II: Rise of the Elves 
1640,Disciples II: Gallean's Return
1690,Space Empires V
1700,Arx Fatalis
1840,Source Filmmaker
1900,Earth 2160
1930,Two Worlds Epic Edition
2100,Dark Messiah of Might & Magic
2200,Quake III Arena
2210,Quake IV
2270,Wolfenstein 3D
2280,Ultimate Doom
2290,Final DOOM
2300,DOOM II
2310,QUAKE
2320,QUAKE II
2330,QUAKE II Mission Pack: The Reckoning
2340,QUAKE II Mission Pack: Ground Zero
2350,QUAKE III: Team Arena
2360,HeXen: Beyond Heretic
2370,HeXen: Deathkings of the Dark Citadel
2390,Heretic: Shadow of the Serpent Riders
2400,The Ship: Murder Party
2450,Bloody Good Time
2500,Shadowgrounds
2520,Gumboy - Crazy Adventures™
2590,Alpha Prime
2600,Vampire: The Masquerade - Bloodlines
2610,GUN™
2620,Call of Duty®
2630,Call of Duty® 2
2640,Call of Duty: United Offensive
2800,X2: The Threat
2810,X3: Reunion
2820,X3: Terran Conflict
2840,X: Beyond the Frontier
2870,X Rebirth
2910,Fleet Command
2990,FlatOut 2™
3020,Call of Juarez™
3130,Men of War: Red Tide
3170,King's Bounty: Armored Princess
3260,Safecracker: The Ultimate Puzzle Adventure
3270,Painkiller Overdose
3330,Zuma Deluxe
3480,Peggle Deluxe
3483,Peggle Extreme
3540,Peggle™ Nights
3590,Plants vs. Zombies GOTY Edition
3600,Escape Rosecliff Island
3620,Zuma's Revenge!
3700,Sniper Elite
3710,Judge Dredd: Dredd vs. Death
3720,Evil Genius
3730,Aliens versus Predator Classic 2000
3800,Advent Rising
3810,BloodRayne
3820,BloodRayne 2
3830,Psychonauts
3900,Sid Meier's Civilization® IV
3910,Sid Meier's Civilization® III Complete
3920,Sid Meier's Pirates!
3980,CivCity: Rome
3990,Civilization IV®: Warlords
4000,Garry's Mod
4230,RACE - The WTCC Game
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520,Full Spectrum Warrior
4530,Full Spectrum Warrior: Ten Hammers
4560,Company of Heroes - Legacy Edition
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
4700,Total War: MEDIEVAL II – Definitive Edition
4720,Condemned: Criminal Origins
4760,Rome: Total War™ - Collection
4770,Rome: Total War™ - Alexander
4780,Medieval II: Total War™ Kingdoms
4800,Heroes of Annihilated Empires
4850,Cossacks: Back to War
4870,Cossacks: Art of War
4880,Cossacks: European Wars
4890,Cossacks II: Battle for Europe
4920,Natural Selection 2
6000,STAR WARS™ Republic Commando™
6010,Indiana Jones® and the Fate of Atlantis™
6020,STAR WARS™ Jedi Knight - Jedi Academy™
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™
6040,The Dig®
6060,"Star Wars: Battlefront 2 (Classic, 2005)"
6120,Shank
6200,Ghost Master®
6220,FlatOut
6250,Making History: The Calm & the Storm
6300,Dreamfall: The Longest Journey
6310,The Longest Journey
6370,Bloodline Champions
6420,Nexus - The Jupiter Incident
6510,Lost Planet™: Extreme Condition
6550,Devil May Cry® 3 Special Edition
6800,Commandos: Behind Enemy Lines
6810,Commandos: Beyond the Call of Duty
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6850,Hitman 2: Silent Assassin
6860,Hitman: Blood Money
6870,Battlestations: Midway
6880,Just Cause
6900,Hitman: Codename 47
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6980,Thief: Deadly Shadows
7000,Tomb Raider: Legend
7010,Project: Snowblind
7020,Rogue Trooper
7110,Jade Empire™: Special Edition
7200,Trackmania United Forever Star Edition
7210,"Runaway, A Road Adventure"
7220,"Runaway, The Dream of The Turtle"
7510,X-Blades
7520,Two Worlds II HD
7530,Two Worlds II Castle Defense
7600,Sid Meier's Railroads!
7610,Railroad Tycoon 3
7620,Railroad Tycoon II Platinum
7650,X-COM: Terror From the Deep
7660,X-COM: Apocalypse
7730,X-COM: Interceptor
7760,X-COM: UFO Defense
7770,X-COM: Enforcer
7830,Men of War™
7860,NecroVision
7940,Call of Duty® 4: Modern Warfare®
8000,Tomb Raider: Anniversary
8080,Kane and Lynch: Dead Men™
8100,Conflict: Denied Ops
8140,Tomb Raider: Underworld
8170,Battlestations Pacific
8190,Just Cause 2
8310,Bone: Out From Boneville
8320,Bone: The Great Cow Race
8330,Telltale Texas Hold ‘Em
8340,Strong Bad's Cool Game for Attractive People: Season 1
8400,Geometry Wars: Retro Evolved
8500,EVE Online
8600,RACE 07
8790,GTR 2 FIA GT Racing Game
8800,Civilization IV: Beyond the Sword
8870,BioShock Infinite
8880,Freedom Force
8890,Freedom Force vs. the Third Reich
8930,Sid Meier's Civilization® V
9000,Spear of Destiny
9010,Return to Castle Wolfenstein
9030,QUAKE Mission Pack 2: Dissolution of Eternity
9040,QUAKE Mission Pack 1: Scourge of Armagon
9050,DOOM 3
9060,HeXen II
9160,Master Levels for Doom II
9180,Commander Keen
9200,RAGE
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault"
9340,Company of Heroes: Opposing Fronts
9350,Supreme Commander
9420,Supreme Commander: Forged Alliance
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm"
9460,Frontlines™: Fuel of War™
9480,Saints Row 2
9500,Gish
9710,Desperados 2: Cooper's Revenge
9800,Death to Spies
9880,Champions Online
9900,Star Trek Online
9940,Blade Kitten
10090,Call of Duty: World at War
10100,King's Quest™ Collection
10110,Space Quest™ Collection
10130,TimeShift™
10150,Prototype™
10180,Call of Duty®: Modern Warfare® 2
10220,Postal III
10270,Disciples III: Reincarnation
10500,Total War: EMPIRE – Definitive Edition
10680,Aliens vs. Predator™
11020,TrackMania Nations Forever
11040,Sherlock Holmes - Nemesis
11130,Sherlock Holmes: The Mystery of the Mummy
11140,Sherlock Holmes: The Awakened - Remastered Edition
11150,Sherlock Holmes: The Silver Earring
11190,Sherlock Holmes versus Jack the Ripper
11200,Shadowgrounds Survivor
11230,Gumboy Tournament
11240,Space Trader: Merchant Marine
11250,Pacific Storm
11260,Pacific Storm Allies
11280,Penguins Arena: Sedna's World
11330,Obulis
11340,Larva Mortus
11360,Chains
11450,Overlord™
11480,Soldiers: Heroes of World War II
11590,Hospital Tycoon
12100,Grand Theft Auto III
12110,Grand Theft Auto: Vice City
12120,Grand Theft Auto: San Andreas
12130,Manhunt
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12170,Grand Theft Auto
12180,Grand Theft Auto 2
12200,Bully: Scholarship Edition
12210,Grand Theft Auto IV
12220,Grand Theft Auto: Episodes from Liberty City
12320,Sacred Gold
12330,Darkstar One
12360,FlatOut: Ultimate Carnage
12470,Port Royale 2
12500,PuzzleQuest: Challenge of the Warlords
12520,18 Wheels of Steel: American Long Haul
12640,Drakensang
12710,Overlord™: Raising Hell
12770,Rise of the Argonauts
12790,Damnation
12810,Overlord II
12830,Operation Flashpoint: Dragon Rising
13140,America's Army 3
13200,Unreal 2: The Awakening
13210,Unreal Tournament 3 Black
13230,Unreal Tournament 2004: Editor's Choice Edition
13240,Unreal Tournament: Game of the Year Edition
13250,Unreal Gold
13500,Prince of Persia: Warrior Within™
13520,Far Cry®
13530,Prince of Persia: The Two Thrones™
13540,Tom Clancy's Rainbow Six® Vegas
13560,Tom Clancy's Splinter Cell®
13570,Tom Clancy's Splinter Cell Chaos Theory®
13580,Tom Clancy's Splinter Cell Double Agent®
13600,Prince of Persia®: The Sands of Time
13620,Tom Clancy's Ghost Recon® Desert Siege™
15000,Tom Clancy's Rainbow Six Lockdown™
15100,Assassin's Creed™: Director's Cut Edition
15120,Tom Clancy's Rainbow Six® Vegas 2
15130,Beyond Good and Evil™
15170,Heroes of Might & Magic V
15190,Brothers in Arms: Road to Hill 30™
15200,Silent Hunter®: Wolves of the Pacific
15210,Silent Hunter® III
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions
15300,Tom Clancy's Ghost Recon®
15320,IL-2 Sturmovik: 1946
15370,Heroes of Might & Magic V: Tribes of the East
15380,Heroes of Might & Magic V: Hammers of Fate
15390,Brothers in Arms: Hell's Highway™
15500,The Wonderful End of the World
15520,AaAaAA!!! - A Reckless Disregard for Gravity
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
15620,"Warhammer 40,000: Dawn of War II"
15700,Oddworld: Abe's Oddysee®
15710,Oddworld: Abe's Exoddus®
15740,Oddworld: Munch's Oddysee
15750,Oddworld: Stranger's Wrath HD
16450,F.E.A.R. 2: Project Origin
16600,Trials 2: Second Edition
16710,Insecticide Part 1
16720,Velvet Assassin
16730,Legendary
16810,Sid Meier's Civilization IV: Colonization
17080,Tribes: Ascend
17100,Children of the Nile: Enhanced Edition
17300,Crysis
17330,Crysis Warhead®
17390,SPORE™
17410,Mirror's Edge™
17430,Need for Speed Undercover
17440,SPORE™ Creepy & Cute Parts Pack
17450,Dragon Age: Origins
17460,Mass Effect
17470,Dead Space
17480,Command & Conquer: Red Alert 3
17500,Zombie Panic! Source
17570,"Pirates, Vikings, and Knights II"
17710,Nuclear Dawn
